Id,name,season,price,product_category,size,quantity,quantities_sold,collection_family,sex,color,discount,size_type,sell_through,predicted_tier,recommended_discount,discount_reason,revenue_eur,discounted_revenue_eur,sell_through_pct
WP-00001,Morgex Quilted Pants,SS25,102.99,Pants,S,542,56,Morgex,Women,Forest Green,0,alpha,0.094,average,20,Moderate push — 20% discount,5767.44,5767.44,9.4
WM-00001,Tribe Quilted Shirt,SS25,109.99,Shirt,XL,443,155,Tribe,Women,Forest Green,0,alpha,0.259,average,20,Moderate push — 20% discount,17048.45,17048.45,25.9
WL-00001,Box Logo Stretch Sweatshirt,FS24,121.99,Sweatshirt,S,59,85,Box Logo,Women,Grey Melange,20,alpha,0.59,fast_mover,0,Restock — no discount needed,10369.15,8295.32,59.0
S-00001,Morgex Print T-Shirt,FS24,39.99,T-Shirt,L,35,305,Morgex,Men,White Whisper,25,alpha,0.897,fast_mover,0,Restock — no discount needed,12196.95,9147.7125,89.7
P-00001,Tribe Graphic Pants,SS25,118.99,Pants,XXL,63,58,Tribe,Men,Green Lichen,0,alpha,0.479,dead_stock,30,Clear before season end — 30% discount,6901.42,6901.42,47.9
W\00001,Box Logo Quilted Shoes,FS24,115.99,Shoes,38,49,264,Box Logo,Women,Burgundy,15,numeric,0.843,fast_mover,0,Restock — no discount needed,30621.359999999997,26028.156,84.3
WP-00002,Geographic Stripe Pants,SS25,148.99,Pants,S,144,172,Geographic,Women,Petit Four,0,alpha,0.544,average,10,Light stimulus — 10% discount,25626.280000000002,25626.280000000002,54.4
P-00002,Patch Stripe Pants,SS25,129.99,Pants,XS,288,26,Patch,Men,White Whisper,0,alpha,0.083,average,20,Moderate push — 20% discount,3379.7400000000002,3379.7400000000002,8.3
\00001,Slate Shoes,FS24,147.99,Shoes,45,122,189,Slate,Men,Beige Sand,20,numeric,0.608,fast_mover,0,Restock — no discount needed,27970.11,22376.088000000003,60.8
N-00001,Circular Heritage Shorts,FS24,81.99,Shorts,S,18,115,Circular,Men,Bright Red,20,alpha,0.865,fast_mover,0,Restock — no discount needed,9428.849999999999,7543.08,86.5
W\00002,Trail Half-Zip Shoes,FS24,137.99,Shoes,39,118,401,Trail,Women,Pale Mint,25,numeric,0.773,fast_mover,0,Restock — no discount needed,55333.990000000005,41500.4925,77.3
GlovesBoxLogo-0001,Box Logo Gloves,SS25,106.99,Accessories,One Size,347,41,Box Logo,Men,Pale Mint,0,alpha,0.106,dead_stock,50,Urgent clearance — 50% discount,4386.59,4386.59,10.6
M-00001,Morgex Quilted Shirt,SS25,97.99,Shirt,XL,183,162,Morgex,Men,Stone Grey,0,alpha,0.47,average,10,Light stimulus — 10% discount,15874.38,15874.38,47.0
WL-00002,Patch Heritage Sweatshirt,SS25,135.99,Sweatshirt,XL,53,6,Patch,Women,Grey Melange,0,alpha,0.102,dead_stock,50,Urgent clearance — 50% discount,815.94,815.94,10.2
M-00002,Morgex Shirt,SS25,94.99,Shirt,S,291,246,Morgex,Men,Forest Green,0,alpha,0.458,average,10,Light stimulus — 10% discount,23367.539999999997,23367.539999999997,45.8
ToteBagGeographic-0001,Geographic Tote Bag,FS24,40.99,Accessories,One Size,48,532,Geographic,Men,Bright White,40,alpha,0.917,fast_mover,0,Restock — no discount needed,21806.68,13084.008,91.7
WM-00002,Tribe Heritage Shirt,FS24,131.99,Shirt,XXL,148,421,Tribe,Women,Navy,50,alpha,0.74,fast_mover,0,Restock — no discount needed,55567.79,27783.895,74.0
WPS-00001,Box Logo Polo,SS25,78.99,Polo,XL,67,45,Box Logo,Women,Bright Red,0,alpha,0.402,dead_stock,30,Clear before season end — 30% discount,3554.5499999999997,3554.5499999999997,40.2
WS-00001,Box Logo Graphic T-Shirt,SS25,49.99,T-Shirt,XL,453,84,Box Logo,Women,Old Rose,0,alpha,0.156,dead_stock,30,Clear before season end — 30% discount,4199.16,4199.16,15.6
S-00002,Rainforest T-Shirt,FS24,40.99,T-Shirt,S,145,336,Rainforest,Men,Forest Green,30,alpha,0.699,fast_mover,0,Restock — no discount needed,13772.640000000001,9640.848,69.9
M-00003,Box Logo Stretch Shirt,SS25,135.99,Shirt,XS,125,26,Box Logo,Men,Pale Mint,0,alpha,0.172,dead_stock,30,Clear before season end — 30% discount,3535.7400000000002,3535.7400000000002,17.2
WS-00002,Circular Print T-Shirt,FS24,62.99,T-Shirt,XS,60,80,Circular,Women,Grey Melange,20,alpha,0.571,fast_mover,0,Restock — no discount needed,5039.2,4031.36,57.1
SocksIconic-0001,Iconic Socks,SS25,71.99,Accessories,M,87,13,Iconic,Men,Forest Green,0,alpha,0.13,dead_stock,50,Urgent clearance — 50% discount,935.8699999999999,935.8699999999999,13.0
WS-00003,Rainforest Print T-Shirt,FS24,84.99,T-Shirt,XXL,207,331,Rainforest,Women,Navy,25,alpha,0.615,fast_mover,0,Restock — no discount needed,28131.69,21098.767499999998,61.5
PS-00001,Box Logo Heritage Polo,SS25,101.99,Polo,XS,272,282,Box Logo,Men,Old Rose,0,alpha,0.509,dead_stock,30,Clear before season end — 30% discount,28761.18,28761.18,50.9
WL-00003,Iconic Quilted Sweatshirt,SS25,102.99,Sweatshirt,XL,209,71,Iconic,Women,Grey Melange,0,alpha,0.254,dead_stock,30,Clear before season end — 30% discount,7312.29,7312.29,25.4
BeltBoxLogo-0001,Box Logo Belt,SS25,72.99,Accessories,One Size,455,120,Box Logo,Men,Olive,0,alpha,0.209,dead_stock,30,Clear before season end — 30% discount,8758.8,8758.8,20.9
PS-00002,Patch Graphic Polo,FS24,105.99,Polo,XXL,161,347,Patch,Men,Forest Green,20,alpha,0.683,fast_mover,0,Restock — no discount needed,36778.53,29422.824,68.3
WN-00001,Rainforest Logo Shorts,SS25,83.99,Shorts,XS,456,102,Rainforest,Women,Olive,0,alpha,0.183,dead_stock,30,Clear before season end — 30% discount,8566.98,8566.98,18.3
ToteBagTribe-0001,Tribe Tote Bag,FS24,88.99,Accessories,One Size,260,321,Tribe,Men,Free Blue,15,alpha,0.552,average,10,Light stimulus — 10% discount,28565.789999999997,24280.921499999997,55.2
WV-00001,Box Logo Swimwear,SS25,51.99,Swimwear,M,162,37,Box Logo,Women,Blue Marine,0,alpha,0.186,dead_stock,30,Clear before season end — 30% discount,1923.63,1923.63,18.6
P-00003,Tribe Pants,FS24,95.99,Pants,M,48,425,Tribe,Men,Pale Mint,20,alpha,0.899,fast_mover,0,Restock — no discount needed,40795.75,32636.600000000002,89.9
WS-00004,Geographic Stripe T-Shirt,FS24,69.99,T-Shirt,L,20,29,Geographic,Women,Burgundy,15,alpha,0.592,fast_mover,0,Restock — no discount needed,2029.7099999999998,1725.2534999999998,59.2
BeltGeographic-0001,Geographic Belt,SS25,66.99,Accessories,One Size,140,51,Geographic,Men,Petit Four,0,alpha,0.267,average,20,Moderate push — 20% discount,3416.49,3416.49,26.7
WS-00005,Box Logo Quilted T-Shirt,SS25,49.99,T-Shirt,XXL,112,33,Box Logo,Women,Free Blue,0,alpha,0.228,dead_stock,30,Clear before season end — 30% discount,1649.67,1649.67,22.8
L-00001,Geographic Sweatshirt,SS25,146.99,Sweatshirt,S,130,93,Geographic,Men,Forest Green,0,alpha,0.417,average,10,Light stimulus — 10% discount,13670.070000000002,13670.070000000002,41.7
M-00004,Tribe Stripe Shirt,SS25,97.99,Shirt,XXL,41,38,Tribe,Men,Khaki,0,alpha,0.481,dead_stock,30,Clear before season end — 30% discount,3723.62,3723.62,48.1
PS-00003,Rainforest Polo,FS24,78.99,Polo,S,67,170,Rainforest,Men,Free Blue,30,alpha,0.717,fast_mover,0,Restock — no discount needed,13428.3,9399.81,71.7
WPS-00002,Morgex Polo,FS24,85.99,Polo,XL,13,145,Morgex,Women,Free Blue,25,alpha,0.918,fast_mover,0,Restock — no discount needed,12468.55,9351.412499999999,91.8
PS-00004,Morgex Stretch Polo,SS25,91.99,Polo,XL,264,97,Morgex,Men,White Whisper,0,alpha,0.269,average,20,Moderate push — 20% discount,8923.029999999999,8923.029999999999,26.9
WScarfTribe-0001,Tribe Scarf,SS25,109.99,Accessories,One Size,28,13,Tribe,Women,Khaki,0,alpha,0.317,dead_stock,30,Clear before season end — 30% discount,1429.87,1429.87,31.7
WP-00003,Morgex Graphic Pants,FS24,140.99,Pants,M,63,107,Morgex,Women,Stone Grey,25,alpha,0.629,fast_mover,0,Restock — no discount needed,15085.93,11314.4475,62.9
WP-00004,Geographic Graphic Pants,FS24,127.99,Pants,XS,69,186,Geographic,Women,Olive,20,alpha,0.729,fast_mover,0,Restock — no discount needed,23806.14,19044.912,72.9
L-00002,Rainforest Sweatshirt,FS24,154.99,Sweatshirt,XL,42,84,Rainforest,Men,Yellow Sunshine,25,alpha,0.667,fast_mover,0,Restock — no discount needed,13019.16,9764.37,66.7
P-00004,Iconic Pants,FS24,107.99,Pants,S,30,57,Iconic,Men,Forest Green,15,alpha,0.655,fast_mover,0,Restock — no discount needed,6155.429999999999,5232.1155,65.5
L-00003,Iconic Stripe Sweatshirt,FS24,118.99,Sweatshirt,XL,154,392,Iconic,Men,Yellow Sunshine,40,alpha,0.718,fast_mover,0,Restock — no discount needed,46644.079999999994,27986.447999999997,71.8
S-00003,Iconic Print T-Shirt,SS25,85.99,T-Shirt,S,476,39,Iconic,Men,Snow White,0,alpha,0.076,dead_stock,50,Urgent clearance — 50% discount,3353.6099999999997,3353.6099999999997,7.6
PS-00005,Rainforest Stretch Polo,FS24,102.99,Polo,XL,95,398,Rainforest,Men,Bright White,25,alpha,0.807,fast_mover,0,Restock — no discount needed,40990.02,30742.514999999996,80.7
P-00005,Rainforest Print Pants,FS24,124.99,Pants,S,100,436,Rainforest,Men,Grey Melange,20,alpha,0.813,fast_mover,0,Restock — no discount needed,54495.64,43596.512,81.3
