name,product_category,collection_family,sex,color,size,price,quantity_remaining,sell_through
Box Logo Graphic T-Shirt,T-Shirt,Box Logo,Women,Bright Red,M,39.99,2,0.958
Morgex Quilted Pants,Pants,Morgex,Women,Navy,M,120.99,2,0.955
Box Logo Logo Sweatshirt,Sweatshirt,Box Logo,Women,Snow White,XS,105.99,2,0.967
Morgex Print Shirt,Shirt,Morgex,Men,Snow White,L,86.99,3,0.968
Patch Heritage Shirt,Shirt,Patch,Men,Yellow Sunshine,S,91.99,4,0.9
Circular Shirt,Shirt,Circular,Men,Orange Tangerine,S,98.99,4,0.96
Morgex Logo Shirt,Shirt,Morgex,Men,Yellow Sunshine,XS,128.99,4,0.965
Rainforest Half-Zip Sweatshirt,Sweatshirt,Rainforest,Men,Beige Sand,XXL,110.99,4,0.941
Circular Polo,Polo,Circular,Women,Bright White,M,107.99,4,0.969
Sun-Lover Stretch Swimwear,Swimwear,Sun-Lover,Men,Old Rose,XS,52.99,4,0.959
Circular Half-Zip Shirt,Shirt,Circular,Men,White Whisper,XXL,103.99,4,0.96
Geographic T-Shirt,T-Shirt,Geographic,Women,Caviar,XL,48.99,4,0.937
Circular Stripe Sweatshirt,Sweatshirt,Circular,Men,Yellow Sunshine,S,143.99,5,0.923
Patch Heritage Shirt,Shirt,Patch,Men,Petit Four,M,130.99,5,0.906
Wave Swimwear,Swimwear,Wave,Men,Free Blue,XS,50.99,5,0.898
Box Logo Heritage Shoes,Shoes,Box Logo,Men,Green Lichen,44,159.99,5,0.938
Tribe Stripe Shirt,Shirt,Tribe,Women,Caviar,L,141.99,6,0.85
Trail Logo Shoes,Shoes,Trail,Men,Burgundy,43,131.99,6,0.962
Patch Graphic Shorts,Shorts,Patch,Men,White Whisper,XXL,53.99,6,0.95
Geographic Quilted Pants,Pants,Geographic,Men,Old Rose,M,144.99,6,0.878
Box Logo Logo T-Shirt,T-Shirt,Box Logo,Men,Pale Mint,M,45.99,6,0.92
Box Logo Half-Zip Swimwear,Swimwear,Box Logo,Women,Orange Tangerine,L,66.99,6,0.913
Geographic Stripe Sweatshirt,Sweatshirt,Geographic,Women,Navy,XL,122.99,7,0.844
Rainforest Polo,Polo,Rainforest,Women,Blue Marine,XXL,104.99,7,0.963
Iconic Print Shorts,Shorts,Iconic,Women,Burgundy,L,52.99,7,0.931
Circular Logo Pants,Pants,Circular,Men,Olive,M,101.99,7,0.955
Geographic Quilted Polo,Polo,Geographic,Women,Free Blue,M,65.99,7,0.907
Morgex Pants,Pants,Morgex,Men,Stone Grey,XXL,135.99,7,0.841
Rainforest Graphic Shirt,Shirt,Rainforest,Men,Petit Four,XL,93.99,7,0.958
Geographic Quilted Shorts,Shorts,Geographic,Men,Olive,XL,63.99,8,0.945
Iconic Shirt,Shirt,Iconic,Women,Caviar,M,113.99,8,0.837
Morgex Logo Sweatshirt,Sweatshirt,Morgex,Men,Bright Red,XXL,153.99,8,0.881
Tribe Print Pants,Pants,Tribe,Women,Stone Grey,S,129.99,8,0.84
Morgex Quilted T-Shirt,T-Shirt,Morgex,Men,Pale Mint,L,75.99,8,0.914
Circular Stretch T-Shirt,T-Shirt,Circular,Women,Burgundy,M,73.99,8,0.884
Iconic Logo Shorts,Shorts,Iconic,Men,Navy,S,52.99,8,0.938
Box Logo Heritage Shoes,Shoes,Box Logo,Men,Beige Sand,45,175.99,9,0.786
Box Logo Shoes,Shoes,Box Logo,Men,Navy,46,111.99,9,0.89
Box Logo Stripe Pants,Pants,Box Logo,Women,Navy,XL,135.99,9,0.78
Iconic Half-Zip Shorts,Shorts,Iconic,Men,Grey Melange,M,82.99,9,0.893
Tribe Shirt,Shirt,Tribe,Men,Blue Marine,S,99.99,10,0.903
Box Logo Heritage T-Shirt,T-Shirt,Box Logo,Women,Navy,XXL,35.99,10,0.96
Morgex Socks,Accessories,Morgex,Men,Snow White,One Size,83.99,10,0.831
Tribe Logo T-Shirt,T-Shirt,Tribe,Men,Burgundy,XL,57.99,10,0.921
Rainforest Pants,Pants,Rainforest,Women,Beige Sand,XS,157.99,10,0.957
Morgex Print Shorts,Shorts,Morgex,Men,Navy,XS,56.99,10,0.821
Iconic Heritage T-Shirt,T-Shirt,Iconic,Men,Yellow Sunshine,XL,42.99,10,0.773
Iconic Half-Zip T-Shirt,T-Shirt,Iconic,Men,Yellow Sunshine,XXL,81.99,10,0.848
Patch Half-Zip T-Shirt,T-Shirt,Patch,Men,Khaki,L,63.99,10,0.965
Box Logo Quilted Polo,Polo,Box Logo,Women,White Whisper,M,96.99,10,0.949
Iconic Logo Polo,Polo,Iconic,Women,Green Lichen,L,101.99,10,0.902
Geographic Quilted Pants,Pants,Geographic,Men,Navy,L,95.99,10,0.859
Patch Stripe Shirt,Shirt,Patch,Men,Khaki,XXL,90.99,11,0.879
Morgex Quilted Sweatshirt,Sweatshirt,Morgex,Men,Khaki,XL,165.99,11,0.97
Box Logo Pants,Pants,Box Logo,Women,White Whisper,S,151.99,11,0.788
